Day,kwh,HighTemp,LowTemp,date,dow,year,month,day,dayofsample,atemp
2020-11-06,1.56,75,57,22225,5,2020,11,6,1,66
2020-11-07,1.56,72,61,22226,6,2020,11,7,2,66.5
2020-11-08,1.04,75,63,22227,0,2020,11,8,3,69
2020-11-09,1.21,78,66,22228,1,2020,11,9,4,72
2020-11-10,1.56,71,66,22229,2,2020,11,10,5,68.5
2020-11-11,1.04,78,70,22230,3,2020,11,11,6,74
2020-11-12,1.21,74,60,22231,4,2020,11,12,7,67
2020-11-13,1.04,73,53,22232,5,2020,11,13,8,63
2020-11-14,1.21,71,47,22233,6,2020,11,14,9,59
2020-11-15,.87,71,48,22234,0,2020,11,15,10,59.5
2020-11-16,1.21,62,43,22235,1,2020,11,16,11,52.5
2020-11-17,.87,64,41,22236,2,2020,11,17,12,52.5
2020-11-18,1.56,64,38,22237,3,2020,11,18,13,51
2020-11-19,1.39,61,37,22238,4,2020,11,19,14,49
2020-11-20,1.04,70,43,22239,5,2020,11,20,15,56.5
2020-11-21,1.56,71,49,22240,6,2020,11,21,16,60
2020-11-22,3.12,69,52,22241,0,2020,11,22,17,60.5
2020-11-23,2.77,61,44,22242,1,2020,11,23,18,52.5
2020-11-24,2.6,60,40,22243,2,2020,11,24,19,50
2020-11-25,1.48,71,49,22244,3,2020,11,25,20,60
2020-11-26,2.29,73,53,22245,4,2020,11,26,21,63
2020-11-27,1.75,71,46,22246,5,2020,11,27,22,58.5
2020-11-28,1.75,68,51,22247,6,2020,11,28,23,59.5
2020-11-29,2.15,56,53,22248,0,2020,11,29,24,54.5
2020-11-30,1.61,56,34,22249,1,2020,11,30,25,45
2020-12-01,2.69,43,29,22250,2,2020,12,1,26,36
2020-12-02,1.88,54,28,22251,3,2020,12,2,27,41
2020-12-03,1.75,55,33,22252,4,2020,12,3,28,44
2020-12-04,1.88,60,41,22253,5,2020,12,4,29,50.5
2020-12-05,3.23,57,38,22254,6,2020,12,5,30,47.5
2020-12-06,4.17,56,38,22255,0,2020,12,6,31,47
2020-12-07,3.36,47,34,22256,1,2020,12,7,32,40.5
2020-12-08,3.63,48,31,22257,2,2020,12,8,33,39.5
2020-12-09,4.7,62,30,22258,3,2020,12,9,34,46
2020-12-10,2.82,68,40,22259,4,2020,12,10,35,54
2020-12-11,2.96,66,43,22260,5,2020,12,11,36,54.5
2020-12-12,2.29,67,51,22261,6,2020,12,12,37,59
2020-12-13,2.02,67,53,22262,0,2020,12,13,38,60
2020-12-14,2.82,64,39,22263,1,2020,12,14,39,51.5
2020-12-15,3.63,51,36,22264,2,2020,12,15,40,43.5
2020-12-16,4.17,44,40,22265,3,2020,12,16,41,42
2020-12-17,3.63,41,32,22266,4,2020,12,17,42,36.5
2020-12-18,4.03,52,30,22267,5,2020,12,18,43,41
2020-12-19,2.82,52,30,22268,6,2020,12,19,44,41
2020-12-20,1.61,56,43,22269,0,2020,12,20,45,49.5
2020-12-21,2.02,60,42,22270,1,2020,12,21,46,51
2020-12-22,3.36,61,42,22271,2,2020,12,22,47,51.5
2020-12-23,3.23,60,37,22272,3,2020,12,23,48,48.5
